Codi_Districte,NACIONALITAT_G,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
1,1,Ciutat Vella,el Barri Gòtic,11,1028,73,2,83,2024
1,2,Ciutat Vella,el Barri Gòtic,11,1028,94,2,84,2024
1,3,Ciutat Vella,el Barri Gòtic,11,1028,254,2,85,2024
1,1,Ciutat Vella,el Barri Gòtic,11,1029,72,2,86,2024
1,2,Ciutat Vella,el Barri Gòtic,11,1029,48,2,87,2024
1,3,Ciutat Vella,el Barri Gòtic,11,1029,199,2,88,2024
1,1,Ciutat Vella,el Barri Gòtic,12,1030,69,2,89,2024
1,2,Ciutat Vella,el Barri Gòtic,12,1030,95,2,90,2024
1,3,Ciutat Vella,el Barri Gòtic,12,1030,266,2,91,2024
1,1,Ciutat Vella,el Barri Gòtic,12,1031,81,2,92,2024
1,2,Ciutat Vella,el Barri Gòtic,12,1031,69,2,93,2024
1,3,Ciutat Vella,el Barri Gòtic,12,1031,361,2,94,2024
1,1,Ciutat Vella,la Barceloneta,13,1032,47,3,95,2024
1,2,Ciutat Vella,la Barceloneta,13,1032,67,3,96,2024
1,3,Ciutat Vella,la Barceloneta,13,1032,103,3,97,2024
1,4,Ciutat Vella,la Barceloneta,13,1032,..,3,98,2024
1,1,Ciutat Vella,la Barceloneta,13,1033,24,3,99,2024
1,2,Ciutat Vella,la Barceloneta,13,1033,34,3,100,2024
